story_id,character,source_text,situation,moral_conflict,broken_component,iks_principle,hope_message,distress_keywords,emotion_tags,distress_level,decision_taken,outcome,user_group,data_source
IKS_EXT_001,Karna,Mahabharata,dealing with anger and revenge,duty vs personal gain,Pathways,ahimsa,"Through ahimsa, one can navigate dealing with anger and revenge and restore inner balance.","anger, duty, personal gain",anger,low,Decided to apply ahimsa to resolve the duty vs personal gain.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_002,Karna,Mahabharata,handling jealousy and envy,loyalty vs righteousness,Pathways,tapas,"Through tapas, one can navigate handling jealousy and envy and restore inner balance.","anxiety, loyalty, righteousness",anxiety,medium,Decided to apply tapas to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_003,Drona,Mahabharata,managing family conflicts,faith vs logic,Pathways,viveka,"Through viveka, one can navigate managing family conflicts and restore inner balance.","grief, faith, logic",grief,high,Decided to apply viveka to resolve the faith vs logic.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_004,Draupadi,Mahabharata,dealing with unrequited efforts,forgiveness vs anger,Agency,viveka,"Through viveka, one can navigate dealing with unrequited efforts and restore inner balance.","confusion, forgiveness, anger",confusion,medium,Decided to apply viveka to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_005,Drona,Mahabharata,dealing with physical illness,fear vs courage,Agency,kshama,"Through kshama, one can navigate dealing with physical illness and restore inner balance.","confusion, fear, courage",confusion,low,Decided to apply kshama to resolve the fear vs courage.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_006,Vidura,Mahabharata,facing social discrimination,non-violence vs self-defense,Goals,dharma,"Through dharma, one can navigate facing social discrimination and restore inner balance.","anxiety, non-violence, self-defense",anxiety,high,Decided to apply dharma to resolve the non-violence vs self-defense.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_007,Bhishma,Mahabharata,seeking purpose in life,patience vs impulse,Goals,daya,"Through daya, one can navigate seeking purpose in life and restore inner balance.","helplessness, patience, impulse",helplessness,medium,Decided to apply daya to resolve the patience vs impulse.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_008,Bhishma,Mahabharata,overcoming fear of death,forgiveness vs anger,Pathways,karma yoga,"Through karma yoga, one can navigate overcoming fear of death and restore inner balance.","grief, forgiveness, anger",grief,high,Decided to apply karma yoga to resolve the forgiveness vs anger.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_009,Draupadi,Mahabharata,facing a loss of a loved one,tradition vs innovation,Agency,kshama,"Through kshama, one can navigate facing a loss of a loved one and restore inner balance.","fear, tradition, innovation",fear,low,Decided to apply kshama to resolve the tradition vs innovation.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_010,Kunti,Mahabharata,struggling with lack of resources,loyalty vs righteousness,Goals,shanti,"Through shanti, one can navigate struggling with lack of resources and restore inner balance.","fear, loyalty, righteousness",fear,medium,Decided to apply shanti to resolve the loyalty vs righteousness.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_011,Arjuna,Mahabharata,balancing personal growth with social duty,self-interest vs social good,Pathways,bhakti,"Through bhakti, one can navigate balancing personal growth with social duty and restore inner balance.","helplessness, self-interest, social good",helplessness,high,Decided to apply bhakti to resolve the self-interest vs social good.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_012,Draupadi,Mahabharata,facing exhaustion and burnout,truth vs convenience,Goals,shanti,"Through shanti, one can navigate facing exhaustion and burnout and restore inner balance.","sadness, truth, convenience",sadness,medium,Decided to apply shanti to resolve the truth vs convenience.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
IKS_EXT_013,Kunti,Mahabharata,coping with aging,ambition vs contentment,Pathways,karma yoga,"Through karma yoga, one can navigate coping with aging and restore inner balance.","helplessness, ambition, contentment",helplessness,high,Decided to apply karma yoga to resolve the ambition vs contentment.,Achieved a sense of clarity and purpose,general,Synthetically_Enhanced_IKS_Model
